, train acc, test acc
1, 0.926417,0.927900
2, 0.947317,0.944800
3, 0.959233,0.952900
4, 0.963467,0.956100
5, 0.970383,0.963000
6, 0.973233,0.966500
7, 0.974233,0.963900
8, 0.976400,0.966000
9, 0.980667,0.969200
10, 0.981050,0.970800
11, 0.982817,0.971300
12, 0.984367,0.973100
13, 0.985883,0.972400
14, 0.986917,0.972300
15, 0.988100,0.973600
16, 0.987800,0.972900
