, train acc, test acc
1, 0.931217,0.933500
2, 0.948850,0.945700
3, 0.959517,0.954100
4, 0.964800,0.958600
5, 0.970700,0.962600
6, 0.973650,0.965400
7, 0.976150,0.966300
8, 0.978400,0.968700
9, 0.980933,0.970200
10, 0.982650,0.969700
11, 0.983867,0.970500
12, 0.984350,0.971500
13, 0.985783,0.973000
14, 0.985083,0.969800
15, 0.987650,0.971300
16, 0.988383,0.972300
