, train acc, test acc
1, 0.973583,0.972300
2, 0.990967,0.985000
3, 0.993267,0.988000
4, 0.996050,0.989400
5, 0.994517,0.987100
6, 0.997017,0.987800
7, 0.997150,0.988900
8, 0.999000,0.989400
9, 0.998500,0.988700
10, 0.999250,0.990500
11, 0.998500,0.988800
12, 0.999267,0.989500
13, 0.999850,0.989900
14, 0.999883,0.990600
15, 0.999917,0.990700
16, 0.999950,0.991300
