, train acc, test acc
1, 0.919917,0.921300
2, 0.943767,0.942100
3, 0.954617,0.952100
4, 0.959950,0.954900
5, 0.966167,0.958700
6, 0.967317,0.960200
7, 0.972583,0.963600
8, 0.974517,0.964700
9, 0.976917,0.965600
10, 0.977367,0.966400
11, 0.976467,0.964000
12, 0.979917,0.965900
13, 0.981867,0.967300
14, 0.982350,0.966900
15, 0.984800,0.968800
16, 0.985167,0.968800
